Nutrient level,Growth rate,$\theta_1$,$\theta_2$,$p = \frac{\theta_2}{\theta_1}$,$\sum \theta$,Approx. $\sum \theta$
59564524.612732,23.561398,0.000063,0.999937,15878.495940,1.000000,1.000000
59983028.201988,23.561408,0.000063,0.999937,15929.775225,1.000000,1.000000
60404472.220222,23.561419,0.000063,0.999937,15989.778357,1.000000,1.000000
60828877.327048,23.561429,0.000062,0.999938,16047.487368,1.000000,1.000000
61256264.327235,23.561439,0.000062,0.999938,16103.615391,1.000000,1.000000
61686654.171728,23.561449,0.000062,0.999938,16158.266921,1.000000,1.000000
62120067.958675,23.561460,0.000062,0.999938,16215.439956,1.000000,1.000000
62556526.934459,23.561470,0.000061,0.999939,16273.337688,1.000000,1.000000
62996052.494744,23.561480,0.000061,0.999939,16333.362579,1.000000,1.000000
63438666.185517,23.561490,0.000061,0.999939,16391.135593,1.000000,1.000000
63884389.704154,23.561500,0.000061,0.999939,16448.438451,1.000000,1.000000
64333244.900472,23.561510,0.000061,0.999939,16503.679566,1.000000,1.000000
64785253.777809,23.561520,0.000060,0.999940,16561.679524,1.000000,1.000000
65240438.494101,23.561530,0.000060,0.999940,16623.241018,1.000000,1.000000
65698821.362964,23.561540,0.000060,0.999940,16677.901554,1.000000,1.000000
66160424.854792,23.561550,0.000060,0.999940,16737.466052,1.000000,1.000000
66625271.597857,23.561560,0.000060,0.999940,16802.986962,1.000000,1.000000
67093384.379419,23.561569,0.000059,0.999941,16857.028528,1.000000,1.000000
67564786.146842,23.561579,0.000059,0.999941,16915.648801,1.000000,1.000000
68039500.008719,23.561589,0.000059,0.999941,16973.973898,1.000000,1.000000
68517549.236006,23.561599,0.000059,0.999941,17034.887899,1.000000,1.000000
68998957.263162,23.561608,0.000058,0.999942,17097.868373,1.000000,1.000000
69483747.689298,23.561618,0.000058,0.999942,17155.561517,1.000000,1.000000
69971944.279332,23.561627,0.000058,0.999942,17212.477079,1.000000,1.000000
70463570.965158,23.561637,0.000058,0.999942,17276.171748,1.000000,1.000000
70958651.846815,23.561647,0.000058,0.999942,17336.993729,1.000000,1.000000
71457211.193670,23.561656,0.000057,0.999943,17398.526240,1.000000,1.000000
71959273.445610,23.561665,0.000057,0.999943,17454.906832,1.000000,1.000000
72464863.214236,23.561675,0.000057,0.999943,17523.915406,1.000000,1.000000
72974005.284072,23.561684,0.000057,0.999943,17583.985062,1.000000,1.000000
73486724.613780,23.561694,0.000057,0.999943,17642.890304,1.000000,1.000000
74003046.337382,23.561703,0.000056,0.999944,17707.693294,1.000000,1.000000
74522995.765493,23.561712,0.000056,0.999944,17763.824093,1.000000,1.000000
75046598.386562,23.561722,0.000056,0.999944,17828.854124,1.000000,1.000000
75573879.868123,23.561731,0.000056,0.999944,17890.016920,1.000000,1.000000
76104866.058048,23.561740,0.000056,0.999944,17960.958536,1.000000,1.000000
76639582.985821,23.561749,0.000055,0.999945,18018.994839,1.000000,1.000000
77178056.863808,23.561758,0.000055,0.999945,18083.290548,1.000000,1.000000
77720314.088546,23.561767,0.000055,0.999945,18147.503627,1.000000,1.000000
78266381.242035,23.561776,0.000055,0.999945,18212.291941,1.000000,1.000000
78816285.093041,23.561786,0.000055,0.999945,18271.952692,1.000000,1.000000
79370052.598410,23.561795,0.000055,0.999945,18334.042656,1.000000,1.000000
79927710.904388,23.561803,0.000054,0.999946,18402.118968,1.000000,1.000000
80489287.347950,23.561812,0.000054,0.999946,18468.311378,1.000000,1.000000
81054809.458146,23.561821,0.000054,0.999946,18534.369432,1.000000,1.000000
81624304.957443,23.561830,0.000054,0.999946,18591.936017,1.000000,1.000000
82197801.763090,23.561839,0.000054,0.999946,18662.186507,1.000000,1.000000
82775327.988481,23.561848,0.000053,0.999947,18727.259268,1.000000,1.000000
83356911.944540,23.561857,0.000053,0.999947,18790.173582,1.000000,1.000000
83942582.141103,23.561865,0.000053,0.999947,18858.002452,1.000000,1.000000
84532367.288318,23.561874,0.000053,0.999947,18927.454546,1.000000,1.000000
85126296.298051,23.561883,0.000053,0.999947,18991.538523,1.000000,1.000000
85724398.285307,23.561892,0.000052,0.999948,19057.748467,1.000000,1.000000
86326702.569653,23.561900,0.000052,0.999948,19131.230979,1.000000,1.000000
86933238.676655,23.561909,0.000052,0.999948,19200.426281,1.000000,1.000000
87544036.339331,23.561917,0.000052,0.999948,19257.216989,1.000000,1.000000
88159125.499602,23.561926,0.000052,0.999948,19330.825076,1.000000,1.000000
88778536.309764,23.561934,0.000052,0.999948,19388.038112,1.000000,1.000000
89402299.133964,23.561943,0.000051,0.999949,19464.399108,1.000000,1.000000
90030444.549689,23.561951,0.000051,0.999949,19533.437473,1.000000,1.000000
90663003.349266,23.561960,0.000051,0.999949,19599.049462,1.000000,1.000000
91300006.541369,23.561968,0.000051,0.999949,19671.125697,1.000000,1.000000
91941485.352542,23.561977,0.000051,0.999949,19738.994102,1.000000,1.000000
92587471.228729,23.561985,0.000050,0.999950,19801.132361,1.000000,1.000000
93237995.836813,23.561993,0.000050,0.999950,19871.469706,1.000000,1.000000
93893091.066171,23.562001,0.000050,0.999950,19950.226003,1.000000,1.000000
94552789.030236,23.562010,0.000050,0.999950,20015.835770,1.000000,1.000000
95217122.068074,23.562018,0.000050,0.999950,20085.963381,1.000000,1.000000
95886122.745965,23.562026,0.000050,0.999950,20151.328659,1.000000,1.000000
96559823.859001,23.562034,0.000049,0.999951,20234.563312,1.000000,1.000000
97238258.432695,23.562042,0.000049,0.999951,20296.757561,1.000000,1.000000
97921459.724600,23.562051,0.000049,0.999951,20365.565233,1.000000,1.000000
98609461.225937,23.562059,0.000049,0.999951,20437.448455,1.000000,1.000000
99302296.663238,23.562067,0.000049,0.999951,20514.881567,1.000000,1.000000
100000000.000000,23.562075,0.000049,0.999951,20581.611334,1.000000,1.000000
